admin1_ID,ClimateZone,admin1,admin 2
1,1,Bengo,Ambriz
1,1,Bengo,Dande
1,3,Bengo,Nambuangongo
1,1,Bengo,Icolo e Bengo
1,1,Bengo,Quissama
16,2,Benguela,Balombo
16,1,Benguela,Benguela
16,2,Benguela,Bocoio
16,1,Benguela,Caimbambo
16,1,Benguela,Chongoroi
16,2,Benguela,Cubal
16,2,Benguela,Ganda
16,1,Benguela,Lobito
16,1,Benguela,Baia Farta
2,2,Bie,Andulo
2,2,Bie,Camacupa
2,2,Bie,Catabola
2,2,Bie,Chitembo
2,2,Bie,Cuemba
2,2,Bie,Cuito
2,2,Bie,Cunhinga
2,3,Bie,N'harea
2,2,Bie,Chinguar
3,3,Cabinda,Belize
3,3,Cabinda,Buco Zau
3,3,Cabinda,Cabinda
3,3,Cabinda,Cacongo (Landana)
4,1,Cuando Cubango,Calai
4,1,Cuando Cubango,Cuangar
4,2,Cuando Cubango,Cuchi
4,2,Cuando Cubango,Cuito Cuanavale
4,1,Cuando Cubango,Dirico
4,2,Cuando Cubango,Mavinga
4,2,Cuando Cubango,Menongue
4,1,Cuando Cubango,Rivungo
4,1,Cuando Cubango,Nancova
5,3,Cuanza Norte,Bula-Atumba
5,3,Cuanza Norte,Dembos-Quibaxe
5,3,Cuanza Norte,Ambaca
5,3,Cuanza Norte,Banga
5,3,Cuanza Norte,Bolongongo
5,3,Cuanza Norte,Cambambe
5,3,Cuanza Norte,Cazengo
5,3,Cuanza Norte,Golungo Alto
5,3,Cuanza Norte,Lucala
5,3,Cuanza Norte,Ngonguembo
5,3,Cuanza Norte,Quiculongo
5,3,Cuanza Norte,Samba Caju
5,1,Cuanza Norte,Pango-Aluquem
6,1,Cuanza Sul,Amboim (Gabela)
6,2,Cuanza Sul,Cassongue
6,2,Cuanza Sul,Cela (Waku Kungo)
6,2,Cuanza Sul,Conda
6,2,Cuanza Sul,Ebo
6,3,Cuanza Sul,Libolo (Calulo)
6,3,Cuanza Sul,Mussende
6,1,Cuanza Sul,Porto Amboim
6,2,Cuanza Sul,Quibala
6,1,Cuanza Sul,Quilenda
6,2,Cuanza Sul,Seles (Uku Seles)
6,1,Cuanza Sul,Sumbe (Ngangula)
7,1,Cunene,Cahama
7,1,Cunene,Cuanhama
7,1,Cunene,Curoca
7,2,Cunene,Cuvelai
7,1,Cunene,Namacunde
7,1,Cunene,Ombadja
8,2,Huambo,Bailundo
8,2,Huambo,Caala
8,2,Huambo,Catchiungo
8,2,Huambo,Ecunha (Ekunha)
8,2,Huambo,Huambo
8,2,Huambo,Longonjo
8,2,Huambo,Londuimbale
8,2,Huambo,Mungo
8,2,Huambo,Tchikala-Tcholohanga
8,2,Huambo,Tchinjenje
8,2,Huambo,Ukuma
9,2,Huila,Caconda
9,2,Huila,Caluquembe
9,1,Huila,Chibia
9,2,Huila,Chicomba
9,2,Huila,Chipindo
9,2,Huila,Cuvango
9,1,Huila,Gambos(Chiange)
9,1,Huila,Humpata
9,2,Huila,Jamba
9,2,Huila,Lubango
9,2,Huila,Matala
9,1,Huila,Quilengues
9,2,Huila,Quipungo
10,1,Luanda,Belas
10,1,Luanda,Cacuaco
10,1,Luanda,Luanda
11,3,Lunda Norte,Cambulo
11,3,Lunda Norte,Capenda-Camulemba
11,3,Lunda Norte,Caungula
11,3,Lunda Norte,Chitato
11,3,Lunda Norte,Cuango
11,3,Lunda Norte,Cuilo
11,3,Lunda Norte,Lubalo
11,3,Lunda Norte,Lucapa
11,3,Lunda Norte,Xa-Muteba
12,3,Lunda Sul,Cacolo
12,3,Lunda Sul,Dala
12,3,Lunda Sul,Muconda
12,3,Lunda Sul,Saurimo
13,3,Malandje,Cacuso
13,3,Malandje,Cahombo
13,3,Malandje,Calandula
13,3,Malandje,Cambundi-Catembo
13,3,Malandje,Cangandala
13,3,Malandje,Cunda-dia-Baze
13,3,Malandje,Kiuaba-N'Zoji
13,3,Malandje,Luquembo
13,3,Malandje,Malanje
13,3,Malandje,Marimba
13,3,Malandje,Massango
13,3,Malandje,Mucari
13,3,Malandje,Quela
13,3,Malandje,Quirima
14,3,Moxico,Alto Zambeze
14,3,Moxico,Bundas
14,3,Moxico,Camanongue
14,3,Moxico,Cameia (Lumeje)
14,3,Moxico,Leua
14,3,Moxico,Luacano
14,3,Moxico,Luau
14,3,Moxico,Luchazes
14,3,Moxico,Luena
15,1,Namibe,Bibala
15,1,Namibe,Camucuio
15,1,Namibe,Namibe
15,1,Namibe,Tombwa
15,1,Namibe,Virei
17,3,Uige,Ambuila
17,3,Uige,Bembe
17,3,Uige,Buengas
17,3,Uige,Bungo
17,3,Uige,Cangola
17,3,Uige,Damba
17,3,Uige,Maquela do Zombo
17,3,Uige,Milunga
17,3,Uige,Mucaba
17,3,Uige,Negage
17,3,Uige,Puri
17,3,Uige,Quimbele
17,3,Uige,Quitexe
17,3,Uige,Sanza Pombo
17,3,Uige,Songo
17,3,Uige,Uige
18,3,Zaire,Cuimba
18,3,Zaire,Mbanza Congo
18,3,Zaire,Noqui
18,3,Zaire,N'Zeto
18,3,Zaire,Soyo
18,3,Zaire,Tomboco
